calcDate,currency,date,close
20251218,USD,19900131,25.36
20251218,USD,19900228,21.99
20251218,USD,19900330,19.73
20251218,USD,19900430,19.52
20251218,USD,19900531,17.37
20251218,USD,19900629,15.5
20251218,USD,19900731,21.11
20251218,USD,19900831,29.9
20251218,USD,19900928,29.11
20251218,USD,19901031,30.04
20251218,USD,19901130,22.16
20251218,USD,19901231,26.38
20251218,USD,19910131,20.91
20251218,USD,19910228,21.23
20251218,USD,19910328,16.88
20251218,USD,19910430,18.24
20251218,USD,19910531,15.93
20251218,USD,19910628,19.55
20251218,USD,19910731,15.18
20251218,USD,19910830,14.46
20251218,USD,19910930,15.85
20251218,USD,19911031,15.48
20251218,USD,19911129,20.26
20251218,USD,19911231,19.31
20251218,USD,19920131,17.4
20251218,USD,19920228,16.68
20251218,USD,19920331,16.18
20251218,USD,19920430,15.53
20251218,USD,19920529,13.86
20251218,USD,19920630,13.35
20251218,USD,19920731,13.17
20251218,USD,19920831,13.58
20251218,USD,19920930,14.28
20251218,USD,19921030,16.15
20251218,USD,19921130,13.01
20251218,USD,19921231,12.57
20251218,USD,19930129,12.42
20251218,USD,19930226,13.16
20251218,USD,19930331,12.53
20251218,USD,19930430,12.42
20251218,USD,19930528,13.47
20251218,USD,19930630,11.26
20251218,USD,19930730,11.73
20251218,USD,19930831,11.85
20251218,USD,19930930,12.99
20251218,USD,19931029,11.46
20251218,USD,19931130,13.76
20251218,USD,19931231,11.66
20251218,USD,19940131,10.63
20251218,USD,19940228,14.87
20251218,USD,19940331,20.45
20251218,USD,19940429,13.77
20251218,USD,19940531,13.03
20251218,USD,19940630,14.97
20251218,USD,19940729,11.13
20251218,USD,19940831,11.97
20251218,USD,19940930,14.28
20251218,USD,19941031,14.56
20251218,USD,19941130,15.95
20251218,USD,19941230,13.2
20251218,USD,19950131,11.96
20251218,USD,19950228,11.75
20251218,USD,19950331,13.37
20251218,USD,19950428,11.75
20251218,USD,19950531,12.85
20251218,USD,19950630,11.38
20251218,USD,19950731,13.49
20251218,USD,19950831,11.52
20251218,USD,19950929,12.74
20251218,USD,19951031,13.83
20251218,USD,19951130,11.58
20251218,USD,19951229,12.52
20251218,USD,19960131,12.53
20251218,USD,19960229,17.04
20251218,USD,19960329,18.88
20251218,USD,19960430,15.83
20251218,USD,19960531,16.07
20251218,USD,19960628,13.68
20251218,USD,19960731,19.46
20251218,USD,19960830,17.01
20251218,USD,19960930,16.95
20251218,USD,19961031,18.11
20251218,USD,19961129,17.14
20251218,USD,19961231,20.92
20251218,USD,19970130,19.47
20251218,USD,19970228,21.1
20251218,USD,19970331,22.14
20251218,USD,19970430,20.06
20251218,USD,19970530,19.19
20251218,USD,19970630,21.53
20251218,USD,19970731,21.48
20251218,USD,19970829,24.76
20251218,USD,19970930,22.91
20251218,USD,19971031,35.09
20251218,USD,19971128,27.43
20251218,USD,19971231,24.01
20251218,USD,19980130,21.47
20251218,USD,19980227,18.55
20251218,USD,19980331,24.22
20251218,USD,19980430,21.18
20251218,USD,19980529,21.32
20251218,USD,19980630,19.71
20251218,USD,19980731,24.8
20251218,USD,19980831,44.28
20251218,USD,19980930,40.95
20251218,USD,19981030,28.05
20251218,USD,19981130,26.01
20251218,USD,19981231,24.42
20251218,USD,19990129,26.25
20251218,USD,19990226,27.88
20251218,USD,19990331,23.26
20251218,USD,19990430,25.07
20251218,USD,19990528,25.39
20251218,USD,19990630,21.09
20251218,USD,19990730,24.64
20251218,USD,19990831,24.45
20251218,USD,19990930,25.41
20251218,USD,19991029,22.2
20251218,USD,19991130,24.18
20251218,USD,19991230,24.76
20251218,USD,20000131,24.95
20251218,USD,20000229,23.37
20251218,USD,20000331,24.11
20251218,USD,20000428,26.2
20251218,USD,20000531,23.65
20251218,USD,20000630,19.54
20251218,USD,20000731,20.74
20251218,USD,20000831,16.84
20251218,USD,20000929,20.57
20251218,USD,20001031,23.63
20251218,USD,20001130,29.65
20251218,USD,20001229,26.85
20251218,USD,20010131,22.02
20251218,USD,20010228,28.35
20251218,USD,20010330,28.64
20251218,USD,20010430,25.48
20251218,USD,20010531,22.64
20251218,USD,20010629,19.06
20251218,USD,20010731,21.62
20251218,USD,20010831,24.92
20251218,USD,20010928,31.93
20251218,USD,20011031,33.56
20251218,USD,20011130,23.84
20251218,USD,20011231,23.8
20251218,USD,20020131,21.09
20251218,USD,20020228,21.59
20251218,USD,20020328,17.4
20251218,USD,20020430,21.91
20251218,USD,20020531,19.98
20251218,USD,20020628,25.4
20251218,USD,20020731,32.03
20251218,USD,20020830,32.64
20251218,USD,20020930,39.69
20251218,USD,20021031,31.14
20251218,USD,20021129,27.5
20251218,USD,20021231,28.62
20251218,USD,20030131,31.17
20251218,USD,20030228,29.63
20251218,USD,20030331,29.15
20251218,USD,20030430,21.21
20251218,USD,20030530,19.47
20251218,USD,20030630,19.52
20251218,USD,20030731,19.49
20251218,USD,20030829,18.63
20251218,USD,20030930,22.72
20251218,USD,20031031,16.1
20251218,USD,20031128,16.32
20251218,USD,20031231,18.31
20251218,USD,20040130,16.63
20251218,USD,20040227,14.55
20251218,USD,20040331,16.74
20251218,USD,20040430,17.19
20251218,USD,20040528,15.5
20251218,USD,20040630,14.34
20251218,USD,20040730,15.32
